compound_id,molecule_id,xtb_method,xtb_version,xtb_charge,xtb_multiplicity,xtb_uhf,xtb_solvent,xtb_opt_level,xtb_converged,xtb_energy_Eh,xtb_gradient_norm_Eh_per_bohr,xtb_cycles,xtb_wall_time_s,mmff_to_xtb_rmsd_A,xtb_input_geometry_path,xtb_optimized_geometry_path,xtb_status,xtb_message,dft_start_geometry_source,dft_converged,status,opt_status,opt_converged,dft_total_energy_hartree,d_av_A,ECN,Rg_A,HCM,HD_A,dQ_A,alignment_RMSD_A,hoppe_converged,descriptor_status
REP_00001,REP_00001,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-94.36169315047,9.5236813e-05,200.0,38.32648491859436,1.195053184154325,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00001/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00001/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-1453.5513742897147,1.172685296244936,1.5393083219982382,5.269603366920999,0.7016642017857605,10.430865235353297,14.86589341284103,5.095711698666292,True,success
REP_00002,REP_00002,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-88.973646468718,0.000118009113,122.0,19.589720964431763,0.7941481964562238,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00002/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00002/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-1341.8574250070128,1.1672641309640786,1.558772277985932,5.144912499261097,0.6881684056442807,10.390692403309888,15.099054705340416,4.976797886767289,True,success
REP_00003,REP_00003,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-73.910577142563,0.000203445852,39.0,5.429680347442627,0.29130457962008427,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00003/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00003/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-1099.5440997077585,1.1509330390119892,1.4931229639967853,4.331474368601073,0.30768899868553984,4.255169060045376,13.82944817079465,3.192826122835142,True,success
REP_00004,REP_00004,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-54.32840766343,0.00017940197,126.0,19.77581000328064,1.7066274720779038,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00004/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00004/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-846.9112907844226,1.1805068908761913,1.60143054586543,3.674350618442465,0.21529752969642138,1.9476463288088812,9.04630132800476,1.8115827952230736,True,success
REP_00005,REP_00005,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-80.962493309753,0.000487626681,68.0,13.004269361495972,0.7857998674554096,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00005/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00005/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-2026.374805042904,1.1884400006252362,1.4098037008329993,4.205744387023293,0.7747776235727086,10.000000776817549,12.906930288854817,3.126047173377699,True,success
REP_00006,REP_00006,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-41.60796695563,0.000225316875,59.0,10.63783049583435,0.6413993198390708,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00006/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00006/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-1037.6989023109259,1.2169913269209962,1.5786714041323864,2.6292442296409746,0.5729256469969989,4.252793526174213,7.422941438326796,2.0774141913794515,True,success
REP_00007,REP_00007,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-84.885312786126,0.000277625742,40.0,6.979972839355469,0.5969885153985606,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00007/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00007/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-1324.056451140632,1.1992945314464507,1.657588953417365,4.483018646912287,0.26491743670165896,3.5545442014980355,13.417554713474912,2.179134022959774,True,success
REP_00008,REP_00008,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-63.88086800826,0.000153621386,68.0,16.004884243011475,0.614557639651062,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00008/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00008/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-929.3237717879251,1.1430861723226498,1.4318590573349896,3.7035844158531686,0.31332528520571856,3.205789241379408,10.231505061184569,2.25931290346949,True,success
REP_00009,REP_00009,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-41.193431226032,0.000165756864,30.0,5.884876489639282,0.2046361750900334,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00009/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00009/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-708.1684223106278,1.225011152319891,1.5808375710326084,2.7028348444798675,0.6359925830029793,4.513857670716649,7.097343257374912,2.0789321791505815,True,success
REP_00010,REP_00010,GFN2-xTB,6.7.1,0.0,1.0,0.0,,tight,True,-80.725809968999,0.000113678307,34.0,5.373956680297852,0.17416989236729147,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00010/xtb_preopt/xtb_input.xyz,/home/ws/xd2484/xeco/experiment/P3_Z_dft_descriptors/artifacts/calculations/REP_00010/xtb_preopt/xtbopt.xyz,success,GEOMETRY OPTIMIZATION CONVERGED,GFN2-xTB,True,converged,opt_not_converged: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,False,-1214.679686875027,1.1749698561998931,1.53726286361377,5.714218614899641,0.14506216354590043,2.820343183241339,19.44230745151494,1.2456484314088698,True,success
