compound_id,inchikey,canonical_smiles,insecticidal_active,molecule_chembl_id,n_assay_records,n_active_records,n_inactive_records,best_pchembl,median_pchembl,assay_types,target_organisms,source,in_lifechem,in_curated_any
LIC_00034,MTXSIJUGVMTTMU-UHFFFAOYSA-N,c1cncc(C2CCCCN2)c1,1,CHEMBL280963,2,1,1,5.43,5.43,"IC50,Ki",Musca domestica,ChEMBL,True,True
LIC_01844,IKDRFCOUGSBGNI-BJMVGYQFSA-N,NC(=S)N/N=C/c1ccc(O)cc1,1,CHEMBL242113,1,1,0,5.3,5.3,EC50,Aedes aegypti,ChEMBL,True,True
LIC_00005,YFCWBKBNFCDPDF-UHFFFAOYSA-N,c1cncc(CN2CCCC2)c1,0,CHEMBL148489,2,0,2,4.79,4.79,"IC50,Ki",Musca domestica,ChEMBL,True,True
LIC_00280,UBSBRLFVQKHLPG-UHFFFAOYSA-N,O=C(O)CCc1nc(-c2ccccc2)no1,0,CHEMBL1313027,1,0,1,,,LC50,Aedes aegypti,ChEMBL,True,True
LIC_00370,JYGFTBXVXVMTGB-UHFFFAOYSA-N,O=C1Cc2ccccc2N1,0,CHEMBL40823,2,0,2,4.29,4.29,"IC50,LC50",Plutella xylostella,ChEMBL,True,True
LIC_00386,WRFNXLGYERRRTO-UHFFFAOYSA-N,COc1ccc(-c2noc(CCC(=O)O)n2)cc1,0,CHEMBL1421066,1,0,1,,,LC50,Aedes aegypti,ChEMBL,True,True
DEC_00032,MWFMGBPGAXYFAR-UHFFFAOYSA-N,CC(C)(O)C#N,1,CHEMBL1231861,1,1,0,,,LC50,Musca domestica,ChEMBL,False,True
EXT_00001,AAKMQRFRNKSENC-JPYJTQIMSA-N,Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3cccc(F)c3)c3ccc(C)cc32)cc1,1,CHEMBL58644,1,1,0,5.52,5.52,EC50,Aedes aegypti,ChEMBL,False,False
EXT_00003,AAWRCBWYNSEVTD-HONQWNAWSA-N,O=[N+]([O-])/N=C1/N(CCCOCCCN2CCN(Cc3ccc(Cl)nc3)/C2=N\[N+](=O)[O-])CCN1Cc1ccc(Cl)nc1,1,CHEMBL2252495,1,1,0,5.58,5.58,Ki,Musca domestica,ChEMBL,False,False
EXT_00005,ABWKLFAGXDXGFC-UHFFFAOYSA-N,CCN1CCN(C2CCN(C(=O)COc3ccc4c(c3)CCC4=O)CC2)CC1,1,CHEMBL4287340,3,3,0,6.7,6.54,IC50,"Aedes aegypti,Anopheles gambiae",ChEMBL,False,False
EXT_00006,ACIBUVSZJSBTER-UHFFFAOYSA-N,CC(C)(C)c1cccc(C(=O)C(F)F)c1,1,CHEMBL3623554,2,2,0,8.04,8.024999999999999,IC50,Anopheles gambiae,ChEMBL,False,False
EXT_00007,ADCNCRGCZHWZAS-SOFGYWHQSA-N,CCN(Cc1cnc(Cl)s1)/C(=C/[N+](=O)[O-])NC,1,CHEMBL2269818,1,1,0,6.8,6.8,IC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00008,AELJUOLUTZKBIA-UHFFFAOYSA-N,S=C(S)NN1CCOCC1,1,CHEMBL2023163,2,2,0,7.88,7.779999999999999,Ki,Drosophila melanogaster,ChEMBL,False,False
EXT_00009,AGIXBXOWTIRXQT-RAXLEYEMSA-N,CN1CCN(CC2CCOC2)/C(=N\C#N)C1=O,1,CHEMBL2272684,1,1,0,6.29,6.29,Ki,Musca domestica,ChEMBL,False,False
EXT_00010,AGKKEYBHKKSJSF-UHFFFAOYSA-N,Cc1ccccc1C(=O)NN(C(=O)c1ccccc1Cl)C(C)(C)C,1,CHEMBL2286423,2,1,1,6.36,5.475,EC50,"Drosophila melanogaster,Spodoptera littoralis",ChEMBL,False,False
EXT_00011,AINHTKLJSKMPIF-UHFFFAOYSA-N,C=CCOCCCOc1ccc(Oc2ccccc2)cc1,1,CHEMBL2272148,1,1,0,9.07,9.07,IC50,Culex pipiens,ChEMBL,False,False
EXT_00012,ALNDHUQPXHHNON-JXMROGBWSA-N,O=[N+]([O-])/C=C1\NCCN1Cc1ccc(Cl)nc1,1,CHEMBL1391421,1,1,0,9.92,9.92,Ki,Drosophila melanogaster,ChEMBL,False,False
EXT_00013,AMGIERNTMSYGFH-UHFFFAOYSA-N,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)c(Cl)c1Cl,1,CHEMBL2286421,1,1,0,5.28,5.28,EC50,Spodoptera littoralis,ChEMBL,False,False
EXT_00014,AMXHWYVGCAVKJP-UHFFFAOYSA-N,CC(C)CNCCCOc1ccc(Oc2ccccc2)cc1,1,CHEMBL2271821,1,1,0,8.37,8.37,IC50,Culex pipiens,ChEMBL,False,False
EXT_00015,ANJTVLIZGCUXLD-DTWKUNHWSA-N,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,1,CHEMBL497939,1,1,0,5.91,5.91,Ki,Musca domestica,ChEMBL,False,False
EXT_00016,AOCHZQAMEPXLEK-UHFFFAOYSA-N,CCC(CC)Cc1ccc(OCCCCNOC)cc1,1,CHEMBL2272190,1,1,0,6.3,6.3,IC50,Culex pipiens,ChEMBL,False,False
EXT_00017,AOVZEJRHIVGBCA-UHFFFAOYSA-N,FC1CCc2cn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)nc21,1,CHEMBL203952,1,1,0,6.54,6.54,IC50,Musca domestica,ChEMBL,False,False
EXT_00018,AOZGKMUNIVXCHL-UHFFFAOYSA-N,CCONCCCOc1ccc(Oc2cccc(C)c2)cc1,1,CHEMBL2271811,1,1,0,9.85,9.85,IC50,Culex pipiens,ChEMBL,False,False
EXT_00022,AQKAZOMSXDNOMV-UHFFFAOYSA-N,COC(=O)CCCc1nc(-c2ccc(Cl)c(Cl)c2)no1,1,CHEMBL2442683,1,1,0,,,LC50,Aedes aegypti,ChEMBL,False,False
EXT_00023,ARTXOKALKYDCFO-UHFFFAOYSA-N,O=[N+]([O-])/N=C1\NCCN1Cc1cnc(Cl)c(I)c1,1,CHEMBL2287707,1,1,0,6.47,6.47,IC50,Musca domestica,ChEMBL,False,False
EXT_00024,ASOJJSIYOVBYDL-UHFFFAOYSA-N,Cc1cccc(Oc2ccc(OCCNCC(C)C)cc2)c1,1,CHEMBL2271816,1,1,0,10.0,10.0,IC50,Culex pipiens,ChEMBL,False,False
EXT_00025,ATAGSKVAWDKBCP-UHFFFAOYSA-N,Cc1ccccc1C(=O)N(NC(=O)c1cccc(F)c1)C(C)(C)C,1,CHEMBL2286424,1,1,0,6.34,6.34,EC50,Spodoptera littoralis,ChEMBL,False,False
EXT_00027,AVUSSQWWMZTAIB-UHFFFAOYSA-N,Cc1cc(C(F)(F)F)ccc1C(=O)Nc1ccccc1C(=O)NC(C)C,1,CHEMBL198073,1,1,0,,,LC50,Spodoptera frugiperda,ChEMBL,False,False
EXT_00028,AWNDPWYRSIVIDH-SFQUDFHCSA-N,CCO/N=C/CCOc1ccc(OC(CC)CC)cc1,1,CHEMBL2271835,1,1,0,8.19,8.19,IC50,Culex pipiens,ChEMBL,False,False
EXT_00030,AXPLNBQLPDERGQ-UHFFFAOYSA-N,C=CC(C#N)OC(=O)C(C)(C)C,1,CHEMBL2271408,1,1,0,,,LC50,Musca domestica,ChEMBL,False,False
EXT_00032,AYLKNFWSAOQHIN-UHFFFAOYSA-N,Cc1ccccc1C(=O)N(NC(=O)c1ccccc1)C(C)(C)C,1,CHEMBL2286740,2,1,1,5.42,5.42,EC50,Drosophila melanogaster,ChEMBL,False,False
EXT_00033,AZOIQYGYIVNADC-XDHOZWIPSA-N,CC(C)O/N=C/COc1ccc(Cc2ccccc2)cc1,1,CHEMBL2271777,1,1,0,7.72,7.72,IC50,Culex pipiens,ChEMBL,False,False
EXT_00037,BDLSLORLEPSOGW-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,1,CHEMBL268439,1,1,0,8.17,8.17,Ki,Anopheles gambiae,ChEMBL,False,False
