compound_id,mol_name,canonical_smiles,inchikey,mol_formula,mol_weight,num_heavy_atoms,source_dataset,repellent_active,target_species,assay_type,scaffold_smiles,qc_status,sdf_Acceptor,sdf_Activity,sdf_CAS,sdf_Chemical_Name,sdf_Collection,sdf_Database,sdf_Description,sdf_Donor,sdf_FSP3,sdf_HAC,sdf_IDNUMBER,sdf_MW,sdf_Molecular Formula,sdf_Molecular Target,sdf_Molecule Name,sdf_Molecule Name 2,sdf_PriceCoeff,sdf_PubChem CID,sdf_Reference DOI,sdf_Reference_compound,sdf_RotBonds,sdf_Similarity,sdf_Smiles,sdf_TPSA,sdf_clogP
REP_00001,Compound 1,CC(C)=CCC/C(C)=C/COC(=O)c1cc(-c2ccccc2)nn1-c1ccc([N+](=O)[O-])cc1,FOZBUHJBPFKESM-CAPFRKAQSA-N,C26H27N3O4,445.2002,33,repellent,1.0,Aedes aegypti,repellency,C1CCC(C2CCC(C3CCCCC3)C2)CC1,pass,,1.0,,,,Pubchem,,,,,,,C26H27N3O4,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-(4-nitrophenyl)-5-phenylpyrazole-3-carboxylate",,,52920578,10.1021/jf104712c,,,,CC(C)=CCC/C(\C)=C/COC(c1cc(-c2ccccc2)n[n]1-c(cc1)ccc1[N+]([O-])=O)=O,,
REP_00002,Compound 2,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1-c1ccc([N+](=O)[O-])cc1,CHSUSWDWCXKNKB-QGOAFFKASA-N,C23H29N3O4,411.2158,30,repellent,1.0,Aedes aegypti,repellency,C1CCC(C2CCCC2)CC1,pass,,1.0,,,,Pubchem,,,,,,,C23H29N3O4,Acyrthosiphon pisum,"[(2E)-3,7-dimethylocta-2,6-dienyl] 2-(4-nitrophenyl)-5-propan-2-ylpyrazole-3-carboxylate",,,52920575,10.1021/jf104712c,,,,CC(C)c(cc1C(OC/C=C(\C)/CCC=C(C)C)=O)n[n]1-c(cc1)ccc1[N+]([O-])=O,,
REP_00003,Compound 3,CCCOC(=O)CC(O)(CC(=O)OCCC)C(=O)OCCC,ODHUFJLMXDXVRC-UHFFFAOYSA-N,C15H26O7,318.1679,22,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C15H26O7,Aedes aegypti,"Citric acid, tri-n-propyl ester",,,74113,10.3390/toxics11100837,,,,CCCOC(CC(CC(OCCC)=O)(C(OCCC)=O)O)=O,,
REP_00004,Compound 4,CCOC(=O)N(C(=O)OCC)C(=O)OCC,WMXDFLUIDJYHMF-UHFFFAOYSA-N,C9H15NO6,233.0899,16,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,Pubchem,,,,,,,C9H15NO6,Aedes aegypti,Dicarboethoxyurethane,,,76671,10.3390/toxics11100837,,,,CCOC(N(C(OCC)=O)C(OCC)=O)=O,,
REP_00005,Compound 5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,KAATUXNTWXVJKI-UHFFFAOYSA-N,C22H19Cl2NO3,415.0742,28,repellent,1.0,Aedes aegypti,repellency,CC(CCC1CCCC(CC2CCCCC2)C1)C1CC1,pass,,1.0,,,,Pubchem,,,,,,,C22H19NO3Cl2,Simulium spp.,Cypermethrin,,,2912,10.1002/ps.2780120407,,,,CC(C)(C1C=C(Cl)Cl)C1C(OC(c1cc(Oc2ccccc2)ccc1)C#N)=O,,
REP_00006,Compound 6,CC(C)(COC(=O)CCl)[N+](=O)[O-],TYKRYWSLMKDDAU-UHFFFAOYSA-N,C6H10ClNO4,195.0298,12,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,PubChem,,,,,,,C6H10NO4Cl,Aedes aegypti,"beta-Diethylaminocrotonic acid, methyl ester",,,154346602,10.3390/toxics11100837,,,,CC(C)(COC(CCl)=O)[N+]([O-])=O,,
REP_00007,Compound 7,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,JUVIOZPCNVVQFO-HBGVWJBISA-N,C23H22O6,394.1416,29,repellent,1.0,Aedes aegypti,repellency,CC1C2CCC3CCCC3C2CC2CCC3CCCCC3C21,pass,,1.0,,,,Pubchem,,,,,,,C23H22O6,Anopheles spp.,Rotenone,,,6758,10.1186/s13071-017-2122-8,,,,CC([C@@H](C1)Oc(cc2)c1c(O[C@H]1[C@@H]3c(cc(c(OC)c4)OC)c4OC1)c2C3=O)=C,,
REP_00008,Compound 8,CCCCOCCOCC(=O)NC(=O)OCCCC,OHXLMTKMPUGANV-UHFFFAOYSA-N,C13H25NO5,275.1733,19,repellent,1.0,Aedes aegypti,repellency,,pass,,1.0,,,,No information,,,,,,,C13H25NO5,Aedes aegypti,"beta-Butoxyethoxyacetylcarbamic acid, butyl ester",,,,10.3390/toxics11100837,,,,CCCCOCCOCC(NC(OCCCC)=O)=O,,
REP_00009,Compound 9,O=C1NC(=O)c2c1cccc2[N+](=O)[O-],BONIIQYTWOPUQI-UHFFFAOYSA-N,C8H4N2O4,192.0171,14,repellent,1.0,Aedes aegypti,repellency,CC1CC(C)C2CCCCC12,pass,,1.0,,,,PubChem,,,,,,,C8H4N2O4,Aedes aegypti,3-Nitrophthalimide,,,11779,10.3390/toxics11100837,,,,[O-][N+](c(cccc1C(N2)=O)c1C2=O)=O,,
REP_00010,Compound 10,c1cc2c(cc1CCCCOCCCCc1ccc3c(c1)OCO3)OCO2,CMNIOEMEVLGZGE-UHFFFAOYSA-N,C22H26O5,370.178,27,repellent,1.0,Aedes aegypti,repellency,C(CCCCC1CCC2CCCC2C1)CCCCC1CCC2CCCC2C1,pass,,1.0,,,,Pubchem,,,,,,,C22H26O5,Aedes aegypti,"5-[4-[4-(1,3-benzodioxol-5-yl)butoxy]butyl]-1,3-benzodioxole",,,141224260,10.1371/annotation/1dc83f26-8045-4b63-8a86-24c7b71a7f79,,,,C(CCOCCCCc(cc1)cc2c1OCO2)Cc(cc1)cc2c1OCO2,,
