feature,mean_abs_shap
HeavyAtomCount,0.6862239
Chi1,0.559196
HallKierAlpha,0.42331442
Chi1v,0.41122654
MolMR,0.36984852
mfp_695,0.33529085
Chi1n,0.32529193
MaxPartialCharge,0.28951925
SMR_VSA5,0.2839833
VSA_EState1,0.26210046
FractionCSP3,0.25339875
Chi0,0.24028699
Kappa2,0.21171856
TPSA,0.20751321
MolLogP,0.20374148
BertzCT,0.19698682
NumHeteroatoms,0.19530915
NumRotatableBonds,0.19431205
PEOE_VSA7,0.17644863
BalabanJ,0.16349894
EState_VSA2,0.16111237
PEOE_VSA8,0.13281848
MinAbsPartialCharge,0.12577996
SlogP_VSA2,0.11117617
LabuteASA,0.11007084
mfp_694,0.10657572
NumHDonors,0.10472922
mfp_1,0.10023822
MinPartialCharge,0.09900459
SlogP_VSA5,0.097790465
PEOE_VSA6,0.09630532
VSA_EState2,0.084511824
Kappa3,0.080256596
PEOE_VSA1,0.07971974
MaxAbsPartialCharge,0.07759774
mfp_294,0.07464228
SMR_VSA7,0.073847115
MolWt,0.060851604
NumValenceElectrons,0.059217725
Chi0n,0.057349008
Kappa1,0.05118701
SMR_VSA1,0.048476607
mfp_1057,0.03997524
Chi0v,0.03757941
ExactMolWt,0.02507599
NHOHCount,0.024802886
mfp_1380,0.01984202
SlogP_VSA3,0.019304693
mfp_650,0.018600082
PEOE_VSA2,0.015770976
mfp_1564,0.014658654
mfp_1017,0.014238174
mfp_591,0.010970345
mfp_794,0.009365914
EState_VSA1,0.00836392
mfp_807,0.007873887
mfp_1917,0.0072325403
mfp_926,0.004597024
mfp_1911,0.004311601
PEOE_VSA3,0.0025036137
mfp_1385,0.0
mfp_1393,0.0
mfp_1392,0.0
mfp_1391,0.0
mfp_1390,0.0
mfp_1394,0.0
mfp_1389,0.0
mfp_1395,0.0
mfp_1388,0.0
mfp_1387,0.0
mfp_1386,0.0
NumRadicalElectrons,0.0
mfp_1384,0.0
mfp_1383,0.0
mfp_1382,0.0
mfp_1381,0.0
mfp_1396,0.0
mfp_1378,0.0
mfp_1377,0.0
mfp_1376,0.0
mfp_1375,0.0
mfp_1374,0.0
mfp_1373,0.0
mfp_1372,0.0
mfp_1371,0.0
mfp_1379,0.0
mfp_1402,0.0
mfp_1397,0.0
NumSaturatedHeterocycles,0.0
mfp_1423,0.0
mfp_1422,0.0
mfp_1421,0.0
mfp_1420,0.0
mfp_1419,0.0
mfp_1418,0.0
mfp_1417,0.0
mfp_1416,0.0
mfp_1415,0.0
mfp_1414,0.0
mfp_1413,0.0
mfp_1412,0.0
mfp_1411,0.0
mfp_1398,0.0
mfp_1410,0.0
mfp_1409,0.0
mfp_1408,0.0
mfp_1407,0.0
mfp_1406,0.0
mfp_1405,0.0
