compound_id,canonical_smiles,source_dataset,repellent_active,scaffold_smiles,method,convergence,charge,multiplicity,mmff_energy,homo_ev,lumo_ev,homo_lumo_gap_ev,total_energy_eh,dipole_debye,partial_charge_mean,partial_charge_std,partial_charge_max,partial_charge_min,dft_subset
REP_00001,CC(C)=CCC/C(C)=C/COC(=O)c1cc(-c2ccccc2)nn1-c1ccc([N+](=O)[O-])cc1,repellent,1.0,C1CCC(C2CCC(C3CCCCC3)C2)CC1,GFN2-xTB,converged,0.0,1.0,87.74365639616094,-8.931281836733465,-8.081993953929587,0.8492878828038783,-94.3428743791106,3.7630294561827244,-5.181040781584064e-17,0.1372989528074387,0.5214133139996764,-0.4216499851821607,False
REP_00002,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1-c1ccc([N+](=O)[O-])cc1,repellent,1.0,C1CCC(C2CCCC2)CC1,GFN2-xTB,converged,0.0,1.0,71.6816193691217,-9.041544792983226,-7.968838942198711,1.0727058507845149,-88.95772510356693,1.3061634528314832,3.8975414233133145e-16,0.1403428697639919,0.5223924203300785,-0.4124304301984141,False
REP_00005,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,repellent,1.0,CC(CCC1CCCC(CC2CCCCC2)C1)C1CC1,GFN2-xTB,converged,0.0,1.0,67.65248353297332,-10.721160718977437,-7.066567727016353,3.654592991961084,-80.94452726678959,1.1776874442290166,-7.189875172771958e-17,0.12185450376686945,0.35872933078093117,-0.4071099567769248,False
REP_00007,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,repellent,1.0,CC1C2CCC3CCCC3C2CC2CCC3CCCCC3C21,GFN2-xTB,converged,0.0,1.0,108.79528352995975,-7.749392027209954,-6.492146555329003,1.2572454718809505,-84.87433567670357,1.3828963343169451,-2.677596706448907e-16,0.12459885960111666,0.22568389854152776,-0.3795915317105437,False
REP_00009,O=C1NC(=O)c2c1cccc2[N+](=O)[O-],repellent,1.0,CC1CC(C)C2CCCCC12,GFN2-xTB,converged,0.0,1.0,-18.545570653579368,-12.147079903350383,-9.48210772916011,2.6649721741902734,-41.18490754366565,2.0181976338699075,4.880355379081417e-16,0.24279929679882567,0.5465347533843664,-0.35789713672018764,False
REP_00010,c1cc2c(cc1CCCCOCCCCc1ccc3c(c1)OCO3)OCO2,repellent,1.0,C(CCCCC1CCC2CCCC2C1)CCCCC1CCC2CCCC2C1,GFN2-xTB,converged,0.0,1.0,47.84912796333796,-10.022624286804556,-6.14085333776896,3.8817709490355954,-80.7074141434662,0.4509493877204669,-8.811086032697292e-17,0.11379454452539733,0.21404233352905191,-0.3215198525465218,True
REP_00011,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,repellent,1.0,CC(CCC1CCCC(CC2CCCCC2)C1)C1CC1,GFN2-xTB,converged,0.0,1.0,54.808934619435824,-10.536965552465237,-6.760511149345739,3.776454403119498,-76.43440980042894,1.5135096926323122,-6.085108262687339e-16,0.11760540517414486,0.35769279104939256,-0.4093717017415787,False
REP_00012,C=C/C=C/CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,repellent,1.0,CC1CCC(CC(C)C2CC2)C1,GFN2-xTB,converged,0.0,1.0,1.5084540304772271,-10.405982364767684,-7.730386756777641,2.6755956079900436,-81.65225067749684,1.256715211520362,1.4659990393345818e-16,0.14096128135083164,0.3556099584209302,-0.42037715177536916,True
REP_00014,CC(=O)OC[C@](C)(O)C(=O)OCCC(C)C,repellent,1.0,,GFN2-xTB,converged,0.0,1.0,30.244456865342585,-11.222140507969321,-6.900348507763455,4.321792000205866,-54.12078736189122,0.6943696861844827,-2.8719310880060476e-17,0.17871770631093223,0.358572970892393,-0.4318938500711425,False
REP_00015,C=C(CC1CC/C(=N/OC(=O)CCCCl)C1CCCCC)OC/C=C(\C)CCC=C(C)C,repellent,1.0,CC1CCCC1,GFN2-xTB,converged,0.0,1.0,75.63222577001967,-10.143861053577087,-7.163364522231082,2.980496531346005,-99.85948274110847,1.5823196749567838,1.9100218482860424e-16,0.09521826419796622,0.35029657329254327,-0.3720873678328108,True
