compound_id,canonical_smiles,source_dataset,scaffold_smiles,p_repellent,p_non_repellent,ensemble_std,prediction_interval_lower,prediction_interval_upper,prediction_interval,ood_score,rank,high_ood,high_uncertainty
LIC_00001,CC(C)N1CC[C@@]2(C[C@H]3CC[C@@H](C2)N3)OC1=O,insecticide,CC1CCCC2(C1)CC1CCC(C1)C2,0.99999999,1.0000000050247593e-08,0.0005461294,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.3913580796075901,1,False,False
LIC_01950,O=C(Nc1ccc(-c2nc3ccccc3s2)cc1)c1cccc(N2C(=O)CCC2=O)c1,insecticide,CC(CC1CCC(C2CC3CCCCC3C2)CC1)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.0002783359,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5921229467717685,2,False,False
LIC_01929,O=c1oc2ccccc2c(O)c1/C=N/c1ncccn1,insecticide,CC1CC2CCCCC2CC1CCC1CCCCC1,0.99999999,1.0000000050247593e-08,0.0010630403,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4734142904424742,3,False,False
LIC_01930,COCCn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2cc(Br)ccc21,insecticide,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.00017604975,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6317118256915493,4,False,True
LIC_01931,COc1cc(Cl)ccc1NC(=O)Cn1nc([N+](=O)[O-])c(Br)c1C,insecticide,CC(CC1CCCCC1)CC1CCCC1,0.99999999,1.0000000050247593e-08,0.00038262215,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5823359011017021,5,False,True
LIC_01932,CC(=O)N1CCN(C(=S)c2ccc(-c3ccc([N+](=O)[O-])cc3Cl)o2)CC1,insecticide,CC(C1CCCCC1)C1CCC(C2CCCCC2)C1,0.99999999,1.0000000050247593e-08,0.0011641508,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6116660003902292,6,False,True
LIC_01933,O=C(OCc1nc2ccccc2s1)c1cccc(N2C(=O)CCC2=O)c1,insecticide,CC(CCC1CC2CCCCC2C1)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.0012281468,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5303128157375582,7,False,True
LIC_01934,Cc1ccc(S(=O)(=O)N(CC(O)CN2CCCCC2)c2ccc(F)cc2)cc1,insecticide,CC(C)(C1CCCCC1)C(CCCC1CCCCC1)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0020446246,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6374741214161991,8,False,True
LIC_01935,COC(=O)c1ccc(Oc2ccccc2)cc1,insecticide,C1CCC(CC2CCCCC2)CC1,0.99999999,1.0000000050247593e-08,0.0012367767,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.17253256596132022,9,False,True
LIC_01936,COc1ccccc1N1C(=O)CC(Sc2ccccc2C(=O)O)C1=O,insecticide,CC1CC(CC2CCCCC2)C(C)C1C1CCCCC1,0.99999999,1.0000000050247593e-08,0.00077483075,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4888609430010471,10,False,False
LIC_01937,COCCn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2cc(C(=O)OC)ccc21,insecticide,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.0006557978,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.61519356022193,11,False,True
LIC_01939,O=C(CSc1nc2ccccc2[nH]1)c1ccccc1,insecticide,CC(CCC1CC2CCCCC2C1)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0013669223,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.38455480537356357,12,False,True
LIC_01940,CSc1nc2ccc(NC(=O)c3cccc(N4C(=O)CCC4=O)c3)cc2s1,insecticide,CC(CC1CCC2CCCC2C1)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.00017635613,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.698195406379439,13,False,True
LIC_01941,Cc1cccc(-c2nc3ccccc3[nH]2)c1,insecticide,C1CCC(C2CC3CCCCC3C2)CC1,0.99999999,1.0000000050247593e-08,0.00083824794,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4189898916697702,14,False,True
LIC_01942,O=C1CCC(=O)N1CC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,insecticide,CC1CCC(C)C1CCCC1C2CCCCC2C2CCCCC21,0.99999999,1.0000000050247593e-08,0.0002968222,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4583907799427686,15,False,True
LIC_01943,CCOC(=O)N1CCN(C2CC(=O)N(c3ccc(I)cc3C)C2=O)CC1,insecticide,CC1CC(C2CCCCC2)C(C)C1C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0009051263,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6508264724516981,16,False,False
LIC_01944,O=C(Nc1ccc(O)c(-c2nc3ccccc3s2)c1)c1ccc(N2C(=O)CCC2=O)cc1,insecticide,CC(CC1CCCC(C2CC3CCCCC3C2)C1)C1CCC(C2C(C)CCC2C)CC1,0.99999999,1.0000000050247593e-08,0.0003576138,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6260279874486141,17,False,False
LIC_01945,C=CCn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2cc(C(=O)OC)ccc21,insecticide,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.00028152563,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5599223478583893,18,False,False
LIC_01946,Cc1ccccc1C(=O)NNC1CC(=O)N(c2ccc(Cl)cc2)C1=O,insecticide,CC(CCC1CC(C)C(C2CCCCC2)C1C)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0010125907,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.3602362119977264,19,False,True
LIC_01947,O=C(Nc1ccc(O)c(-c2nc3ccccc3s2)c1)c1cccc(N2C(=O)CCC2=O)c1,insecticide,CC(CC1CCCC(C2CC3CCCCC3C2)C1)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.00038358002,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6251979783695846,20,False,True
LIC_01948,O=C(O)c1ccccc1SC1CC(=O)N(c2ccc(O)cc2)C1=O,insecticide,CC1CC(CC2CCCCC2)C(C)C1C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0004980276,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5295294213816831,21,False,False
LIC_01928,O=C(OC1CN(c2nc3ccc(F)cc3s2)C1)c1cccc(N2C(=O)CCC2=O)c1,insecticide,CC(CC1CC(C2CC3CCCCC3C2)C1)C1CCCC(C2C(C)CCC2C)C1,0.99999999,1.0000000050247593e-08,0.00046079513,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6655063532434506,22,False,False
