rank,feature,mean_abs_shap,type,repellent_mean,non_repellent_mean,delta
1,HeavyAtomCount,0.6862239,RDKit 2D,14.13941018766756,9.81058495821727,4.32882522945029
2,Chi1,0.559196,RDKit 2D,6.741884241743429,4.643539385776538,2.0983448559668902
3,HallKierAlpha,0.42331442,RDKit 2D,-0.9638069705093834,-0.6262674094707522,-0.33753956103863114
4,Chi1v,0.41122654,RDKit 2D,5.246871669012141,3.5370903117897727,1.7097813572223686
5,MolMR,0.36984852,RDKit 2D,57.12405254691692,39.27916072423399,17.844891822682932
6,mfp_695,0.33529085,Morgan FP Bit,0.4772117962466488,0.520891364902507,-0.0436795686558582
7,Chi1n,0.32529193,RDKit 2D,5.19915215316939,3.444996673611761,1.7541554795576286
8,MaxPartialCharge,0.28951925,RDKit 2D,0.20102718059245325,0.19396790737729008,0.00705927321516317
9,SMR_VSA5,0.2839833,RDKit 2D,36.537515127521495,24.095598711416233,12.441916416105261
10,VSA_EState1,0.26210046,RDKit 2D,3.8664871523875455,3.856480749251453,0.01000640313609269
11,FractionCSP3,0.25339875,RDKit 2D,0.6139471433989895,0.6646936938023289,-0.05074655040333942
12,Chi0,0.24028699,RDKit 2D,10.623411161777042,7.572330675047522,3.0510804867295205
13,Kappa2,0.21171856,RDKit 2D,5.689031933807734,4.278927844131436,1.410104089676298
14,TPSA,0.20751321,RDKit 2D,33.712546916890076,28.76381615598886,4.948730760901217
15,MolLogP,0.20374148,RDKit 2D,2.5430954423592502,1.5684936490250698,0.9746017933341804
16,BertzCT,0.19698682,RDKit 2D,262.5224645521133,137.02790700943672,125.4945575426766
17,NumHeteroatoms,0.19530915,RDKit 2D,2.479892761394102,2.1420612813370474,0.33783148005705455
18,NumRotatableBonds,0.19431205,RDKit 2D,4.230563002680965,2.7242339832869082,1.5063290193940566
19,PEOE_VSA7,0.17644863,RDKit 2D,26.209143414770725,14.743824137089831,11.465319277680894
20,BalabanJ,0.16349894,RDKit 2D,2.768866772137756,2.942367842698576,-0.1735010705608202
21,EState_VSA2,0.16111237,RDKit 2D,8.876031239542403,6.040553177978724,2.8354780615636788
22,PEOE_VSA8,0.13281848,RDKit 2D,7.290372035247456,5.285770114234088,2.004601921013368
23,MinAbsPartialCharge,0.12577996,RDKit 2D,0.20228290161765275,0.19463499954369456,0.007647902073958185
24,SlogP_VSA2,0.11117617,RDKit 2D,17.317978251577955,15.004928439177371,2.3130498124005836
25,LabuteASA,0.11007084,RDKit 2D,86.63629652134448,61.05753141625393,25.578765105090547
26,mfp_694,0.10657572,Morgan FP Bit,0.24932975871313673,0.1532033426183844,0.09612641609475234
27,NumHDonors,0.10472922,RDKit 2D,0.5093833780160858,0.38997214484679665,0.11941123316928914
28,mfp_1,0.10023822,Morgan FP Bit,0.2868632707774799,0.2757660167130919,0.011097254064387996
29,MinPartialCharge,0.09900459,RDKit 2D,-0.3965610017499145,-0.3875604375190181,-0.009000564230896402
30,SlogP_VSA5,0.097790465,RDKit 2D,35.71526152721303,22.22704189784648,13.48821962936655
