Compound_ID,SMILES,InChIKey,Molecular_Formula,MW_Da,p_repellent,OOD_Score,Target_Species,PubChem_CID
REP_00001,CC(C)=CCC/C(C)=C/COC(=O)c1cc(-c2ccccc2)nn1-c1ccc([N+](=O)[O-])cc1,FOZBUHJBPFKESM-CAPFRKAQSA-N,C26H27N3O4,445.2002,0.99999999,0.46701279100775533,Aedes aegypti,52920578
REP_00002,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1-c1ccc([N+](=O)[O-])cc1,CHSUSWDWCXKNKB-QGOAFFKASA-N,C23H29N3O4,411.2158,0.99999999,0.45632184062719766,Aedes aegypti,52920575
REP_00003,CCCOC(=O)CC(O)(CC(=O)OCCC)C(=O)OCCC,ODHUFJLMXDXVRC-UHFFFAOYSA-N,C15H26O7,318.1679,0.99999999,0.43939572236967694,Aedes aegypti,74113
REP_00004,CCOC(=O)N(C(=O)OCC)C(=O)OCC,WMXDFLUIDJYHMF-UHFFFAOYSA-N,C9H15NO6,233.0899,0.99999999,0.4040053965162942,Aedes aegypti,76671
REP_00005,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,KAATUXNTWXVJKI-UHFFFAOYSA-N,C22H19Cl2NO3,415.0742,0.99999999,0.683073765149291,Aedes aegypti,2912
REP_00006,CC(C)(COC(=O)CCl)[N+](=O)[O-],TYKRYWSLMKDDAU-UHFFFAOYSA-N,C6H10ClNO4,195.0298,0.05263157894736842,0.5139461095805223,Aedes aegypti,154346602
REP_00007,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,JUVIOZPCNVVQFO-HBGVWJBISA-N,C23H22O6,394.1416,0.99999999,1.0,Aedes aegypti,6758
REP_00008,CCCCOCCOCC(=O)NC(=O)OCCCC,OHXLMTKMPUGANV-UHFFFAOYSA-N,C13H25NO5,275.1733,0.99999999,0.5542874621562863,Aedes aegypti,
REP_00009,O=C1NC(=O)c2c1cccc2[N+](=O)[O-],BONIIQYTWOPUQI-UHFFFAOYSA-N,C8H4N2O4,192.0171,0.99999999,0.7004765764505768,Aedes aegypti,11779
REP_00010,c1cc2c(cc1CCCCOCCCCc1ccc3c(c1)OCO3)OCO2,CMNIOEMEVLGZGE-UHFFFAOYSA-N,C22H26O5,370.178,0.99999999,0.4161720834680652,Aedes aegypti,141224260
REP_00011,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,C21H20Cl2O3,390.0789,0.99999999,0.40939761716473333,Aedes aegypti,40326
REP_00012,C=C/C=C/CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,VJFUPGQZSXIULQ-QYVAASDLSA-N,C22H28O5,372.1937,0.99999999,0.7833797747691262,Aedes aegypti,6433155
REP_00013,CC(C)C1OCC(C)([N+](=O)[O-])CO1,GDCZMRZHWQTAHN-UHFFFAOYSA-N,C8H15NO4,189.1001,0.8695652173913043,0.5368072936959487,Aedes aegypti,13040515
REP_00014,CC(=O)OC[C@](C)(O)C(=O)OCCC(C)C,HJOWXBVJJZTCHX-NSHDSACASA-N,C11H20O5,232.1311,0.99999999,0.5191487690366208,Aedes aegypti,
