Compound_ID,SMILES,InChIKey,Insecticidal_Active,ChEMBL_ID,N_Assay_Records,Best_pChEMBL,Median_pChEMBL,Target_Organisms,Source
DEC_00032,CC(C)(O)C#N,MWFMGBPGAXYFAR-UHFFFAOYSA-N,1,CHEMBL1231861,1,,,Musca domestica,ChEMBL
EXT_00001,Cc1ccc(N[C@H]2C[C@@H](C)N(C(=O)c3cccc(F)c3)c3ccc(C)cc32)cc1,AAKMQRFRNKSENC-JPYJTQIMSA-N,1,CHEMBL58644,1,5.52,5.52,Aedes aegypti,ChEMBL
EXT_00002,COP1(=S)NCC(c2ccc(-c3ccccc3)cc2)O1,AASAYAXVIVGERS-UHFFFAOYSA-N,0,CHEMBL2289017,1,,,Tribolium castaneum,ChEMBL
EXT_00003,O=[N+]([O-])/N=C1/N(CCCOCCCN2CCN(Cc3ccc(Cl)nc3)/C2=N\[N+](=O)[O-])CCN1Cc1ccc(Cl)nc1,AAWRCBWYNSEVTD-HONQWNAWSA-N,1,CHEMBL2252495,1,5.58,5.58,Musca domestica,ChEMBL
EXT_00004,O=[N+]([O-])/N=C1/N(CCCOCCCN2CCN(Cc3ccc(Cl)nc3)/C2=N/[N+](=O)[O-])CCN1Cc1ccc(Cl)nc1,AAWRCBWYNSEVTD-UEUMJKGWSA-N,0,CHEMBL2286696,1,4.14,4.14,Musca domestica,ChEMBL
EXT_00005,CCN1CCN(C2CCN(C(=O)COc3ccc4c(c3)CCC4=O)CC2)CC1,ABWKLFAGXDXGFC-UHFFFAOYSA-N,1,CHEMBL4287340,3,6.7,6.54,"Aedes aegypti,Anopheles gambiae",ChEMBL
EXT_00006,CC(C)(C)c1cccc(C(=O)C(F)F)c1,ACIBUVSZJSBTER-UHFFFAOYSA-N,1,CHEMBL3623554,2,8.04,8.024999999999999,Anopheles gambiae,ChEMBL
EXT_00007,CCN(Cc1cnc(Cl)s1)/C(=C/[N+](=O)[O-])NC,ADCNCRGCZHWZAS-SOFGYWHQSA-N,1,CHEMBL2269818,1,6.8,6.8,Drosophila melanogaster,ChEMBL
EXT_00008,S=C(S)NN1CCOCC1,AELJUOLUTZKBIA-UHFFFAOYSA-N,1,CHEMBL2023163,2,7.88,7.779999999999999,Drosophila melanogaster,ChEMBL
EXT_00009,CN1CCN(CC2CCOC2)/C(=N\C#N)C1=O,AGIXBXOWTIRXQT-RAXLEYEMSA-N,1,CHEMBL2272684,1,6.29,6.29,Musca domestica,ChEMBL
EXT_00010,Cc1ccccc1C(=O)NN(C(=O)c1ccccc1Cl)C(C)(C)C,AGKKEYBHKKSJSF-UHFFFAOYSA-N,1,CHEMBL2286423,2,6.36,5.475,"Drosophila melanogaster,Spodoptera littoralis",ChEMBL
EXT_00011,C=CCOCCCOc1ccc(Oc2ccccc2)cc1,AINHTKLJSKMPIF-UHFFFAOYSA-N,1,CHEMBL2272148,1,9.07,9.07,Culex pipiens,ChEMBL
EXT_00012,O=[N+]([O-])/C=C1\NCCN1Cc1ccc(Cl)nc1,ALNDHUQPXHHNON-JXMROGBWSA-N,1,CHEMBL1391421,1,9.92,9.92,Drosophila melanogaster,ChEMBL
EXT_00013,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)c(Cl)c1Cl,AMGIERNTMSYGFH-UHFFFAOYSA-N,1,CHEMBL2286421,1,5.28,5.28,Spodoptera littoralis,ChEMBL
EXT_00014,CC(C)CNCCCOc1ccc(Oc2ccccc2)cc1,AMXHWYVGCAVKJP-UHFFFAOYSA-N,1,CHEMBL2271821,1,8.37,8.37,Culex pipiens,ChEMBL
EXT_00015,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,ANJTVLIZGCUXLD-DTWKUNHWSA-N,1,CHEMBL497939,1,5.91,5.91,Musca domestica,ChEMBL
EXT_00016,CCC(CC)Cc1ccc(OCCCCNOC)cc1,AOCHZQAMEPXLEK-UHFFFAOYSA-N,1,CHEMBL2272190,1,6.3,6.3,Culex pipiens,ChEMBL
EXT_00017,FC1CCc2cn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)nc21,AOVZEJRHIVGBCA-UHFFFAOYSA-N,1,CHEMBL203952,1,6.54,6.54,Musca domestica,ChEMBL
EXT_00018,CCONCCCOc1ccc(Oc2cccc(C)c2)cc1,AOZGKMUNIVXCHL-UHFFFAOYSA-N,1,CHEMBL2271811,1,9.85,9.85,Culex pipiens,ChEMBL
EXT_00019,NS(=O)(=O)c1ccc(NC(=S)NCCN2CCCCC2)cc1,APJQUZJJYBHJSQ-UHFFFAOYSA-N,0,CHEMBL4079963,2,5.11,4.795,Anopheles gambiae,ChEMBL
EXT_00020,CCCCCCOCC(C)=O,APOKGGYUGXMFNF-UHFFFAOYSA-N,0,CHEMBL153556,1,,,Drosophila melanogaster,ChEMBL
EXT_00021,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1I,APOKTNFWHFJVHX-UHFFFAOYSA-N,0,CHEMBL2286738,2,5.92,4.98,Drosophila melanogaster,ChEMBL
EXT_00022,COC(=O)CCCc1nc(-c2ccc(Cl)c(Cl)c2)no1,AQKAZOMSXDNOMV-UHFFFAOYSA-N,1,CHEMBL2442683,1,,,Aedes aegypti,ChEMBL
EXT_00023,O=[N+]([O-])/N=C1\NCCN1Cc1cnc(Cl)c(I)c1,ARTXOKALKYDCFO-UHFFFAOYSA-N,1,CHEMBL2287707,1,6.47,6.47,Musca domestica,ChEMBL
EXT_00024,Cc1cccc(Oc2ccc(OCCNCC(C)C)cc2)c1,ASOJJSIYOVBYDL-UHFFFAOYSA-N,1,CHEMBL2271816,1,10.0,10.0,Culex pipiens,ChEMBL
EXT_00025,Cc1ccccc1C(=O)N(NC(=O)c1cccc(F)c1)C(C)(C)C,ATAGSKVAWDKBCP-UHFFFAOYSA-N,1,CHEMBL2286424,1,6.34,6.34,Spodoptera littoralis,ChEMBL
EXT_00026,CCCCCC[Se](=O)CC(C)=O,ATYSQAZWBVZWSB-UHFFFAOYSA-N,0,CHEMBL152225,1,4.45,4.45,Drosophila melanogaster,ChEMBL
EXT_00027,Cc1cc(C(F)(F)F)ccc1C(=O)Nc1ccccc1C(=O)NC(C)C,AVUSSQWWMZTAIB-UHFFFAOYSA-N,1,CHEMBL198073,1,,,Spodoptera frugiperda,ChEMBL
EXT_00028,CCO/N=C/CCOc1ccc(OC(CC)CC)cc1,AWNDPWYRSIVIDH-SFQUDFHCSA-N,1,CHEMBL2271835,1,8.19,8.19,Culex pipiens,ChEMBL
EXT_00029,CC(C)(C)OC(=O)NCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(/C=C/Br)c(=O)[nH]c1=O,AWSGRGMUUJQCOH-WDVHKUKPSA-N,0,CHEMBL240510,1,4.11,4.11,Drosophila melanogaster,ChEMBL
EXT_00030,C=CC(C#N)OC(=O)C(C)(C)C,AXPLNBQLPDERGQ-UHFFFAOYSA-N,1,CHEMBL2271408,1,,,Musca domestica,ChEMBL
EXT_00031,C/C(=N\C#N)NCc1ccc(Cl)nc1,AYEAUPRZTZWBBF-UHFFFAOYSA-N,0,CHEMBL2287444,1,,,Musca domestica,ChEMBL
EXT_00032,Cc1ccccc1C(=O)N(NC(=O)c1ccccc1)C(C)(C)C,AYLKNFWSAOQHIN-UHFFFAOYSA-N,1,CHEMBL2286740,2,5.42,5.42,Drosophila melanogaster,ChEMBL
EXT_00033,CC(C)O/N=C/COc1ccc(Cc2ccccc2)cc1,AZOIQYGYIVNADC-XDHOZWIPSA-N,1,CHEMBL2271777,1,7.72,7.72,Culex pipiens,ChEMBL
EXT_00034,O=[N+]([O-])/N=C1\N(CCCCCCCCCCN2CCN(Cc3ccc(Cl)nc3)/C2=N/[N+](=O)[O-])CCN1Cc1ccc(Cl)nc1,BAGKOBAZPHKDPG-SWMYPXFDSA-N,0,CHEMBL2271617,1,4.57,4.57,Musca domestica,ChEMBL
EXT_00035,CC(C)CSc1cccc(OS(C)(=O)=O)n1,BBPAPSVFSDRUHU-UHFFFAOYSA-N,0,CHEMBL2286245,1,,,Musca domestica,ChEMBL
EXT_00036,CN(C)CCCN1C(=O)CSC1c1ccccc1F,BCZDQSFUMAUKCC-UHFFFAOYSA-N,0,CHEMBL5404393,1,4.64,4.64,Anopheles gambiae,ChEMBL
EXT_00037,Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,BDLSLORLEPSOGW-UHFFFAOYSA-N,1,CHEMBL268439,1,8.17,8.17,Anopheles gambiae,ChEMBL
EXT_00038,CC(C)c1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,BESRNNXBPJIRJI-UHFFFAOYSA-N,1,CHEMBL2286428,3,7.82,7.76,"Drosophila melanogaster,Spodoptera frugiperda,Spodoptera littoralis",ChEMBL
EXT_00039,CN1CCN(NC(=S)S)CC1,BFGJSMAQQPSMEH-UHFFFAOYSA-N,1,CHEMBL2023164,2,9.05,8.455,Drosophila melanogaster,ChEMBL
EXT_00040,CCOP(=O)(OCC)SCCCCCCN1C(=O)c2ccccc2C1=O,BGOCFQMFHYPMOD-UHFFFAOYSA-N,1,CHEMBL2252850,2,5.42,5.225,"Drosophila melanogaster,Musca domestica",ChEMBL
EXT_00041,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,1,CHEMBL26,1,7.53,7.53,Anopheles gambiae,ChEMBL
EXT_00042,Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O,BHMZJUVAVWRNLN-QXMHVHEDSA-N,1,CHEMBL101135,1,5.48,5.48,Drosophila melanogaster,ChEMBL
EXT_00043,CCCONCCOc1ccc(Oc2cccc(C)c2)cc1,BHOUZQSCLBIKOC-UHFFFAOYSA-N,1,CHEMBL2271807,1,8.76,8.76,Culex pipiens,ChEMBL
EXT_00044,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1C(F)(F)F,BHSQODKUEYDLIS-UHFFFAOYSA-N,1,CHEMBL2286420,3,6.1,5.44,"Drosophila melanogaster,Spodoptera littoralis",ChEMBL
EXT_00045,CS[C@@H]1[C@@H](N)[C@@H](O)[C@@H](O)[C@H]1O,BLOFGONIVNXZME-YDMGZANHSA-N,1,CHEMBL9623,1,6.82,6.82,Drosophila melanogaster,ChEMBL
EXT_00046,CCCCCC[Se]CC(=O)C(F)(F)F,BMOVRSNYGHMRBE-UHFFFAOYSA-N,1,CHEMBL153177,1,6.46,6.46,Drosophila melanogaster,ChEMBL
EXT_00047,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,BMTTUHNUPKSNHI-FQTOXTOYSA-N,0,CHEMBL558256,1,4.05,4.05,Drosophila melanogaster,ChEMBL
EXT_00048,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,BMTTUHNUPKSNHI-NBNOIDAGSA-N,1,CHEMBL559941,1,6.1,6.1,Drosophila melanogaster,ChEMBL
EXT_00049,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,BMTTUHNUPKSNHI-XCTRBCSVSA-N,1,CHEMBL560796,1,5.02,5.02,Drosophila melanogaster,ChEMBL
EXT_00050,CSCC[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]3CSSC[C@H](NC(=O)[C@H](C(C)C)NC1=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c4ccccc14)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)O)CSSC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC3=O)C(=O)N2,BMZVQAWCJXIJDE-WMYNLDKDSA-N,1,CHEMBL2272095,2,7.6,7.595,Blattella germanica,ChEMBL
EXT_00051,CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4)cc3)CC2)CC1,BODMOCLWYAYDCG-UHFFFAOYSA-N,1,CHEMBL3965046,5,6.68,6.66,"Aedes aegypti,Anopheles gambiae",ChEMBL
EXT_00052,CC(C)ONCCCOc1ccc(Cc2ccccc2)cc1,BOMYNNLDMFJZHK-UHFFFAOYSA-N,1,CHEMBL2271813,1,9.49,9.49,Culex pipiens,ChEMBL
EXT_00053,CCCCCCCCS(=O)(=O)[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,BOZLAAFUAKZBCA-PEBLQZBPSA-N,0,CHEMBL1689642,1,,,Drosophila melanogaster,ChEMBL
EXT_00054,CC(C)CNC(=O)/C=C/C=C/CC/C=C/c1ccc2c(c1)OCO2,BPSWISYORIWKCT-FCGWLDPVSA-N,1,CHEMBL255152,1,,,Aedes aegypti,ChEMBL
EXT_00055,CCCN(CCC)C(=S)S,BQCRLWBELMWYQA-UHFFFAOYSA-N,1,CHEMBL2023720,2,8.41,8.02,Drosophila melanogaster,ChEMBL
EXT_00056,CCCCc1cn([C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2CO)nn1,BQPFJKYLPCZFDB-BFHYXJOUSA-N,1,CHEMBL1089805,1,5.39,5.39,Drosophila melanogaster,ChEMBL
EXT_00057,CCC(CC)Oc1ccc(OCC/C=N/OC(C)C)cc1,BTERSLVHOGVBSY-LDADJPATSA-N,1,CHEMBL2271837,1,9.3,9.3,Culex pipiens,ChEMBL
EXT_00058,CCO/N=C/COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,BUGJJYHVKQGOSI-GZTJUZNOSA-N,1,CHEMBL2271477,1,7.08,7.08,Culex pipiens,ChEMBL
EXT_00059,O=C(O)CCc1nc(-c2ccc(F)cc2)no1,BUMRHSFCLPSTJE-UHFFFAOYSA-N,0,CHEMBL2442675,1,,,Aedes aegypti,ChEMBL
