compound_id,canonical_smiles,p_repellent,p_insecticidal,repel_lower_90,repel_upper_90,insect_lower_90,insect_upper_90,Category
LIC_02875,O=C(O)CN1C(=O)CC2(CSc3[nH]c(=O)sc3C2c2ccccc2O)C1=O,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02874,O=C(CN1C(=O)CCC1=O)Nc1nc(-c2nc3ccccc3s2)cs1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02873,COc1ccc(N2C(=O)CC(NNc3ccccc3)C2=O)cc1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02872,N#Cc1ccsc1NC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02871,O=C(Nc1ccccc1-c1nc2ccccc2s1)c1ccc(N2C(=O)CCC2=O)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02870,O=C1CC(NC23CC4CC(CC(C4)C2)C3)C(=O)N1Cc1ccc2c(c1)OCO2,1.0,0.75,0.4339622641509434,1.0,0.10483870967741937,1.0,Toxic Repellent
LIC_02869,CC(C)c1cccc2sc(N(Cc3cccnc3)C(=O)c3cccc(N4C(=O)CCC4=O)c3)nc12,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02868,O=C(c1cccc(N2C(=O)CCC2=O)c1)N(CCn1cccn1)c1nc2ccccc2s1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02867,COc1ccc(CCN2C(=O)CC(Nc3ccc(N4CCOCC4)cc3)C2=O)cc1OC,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02866,CCN1C(=O)/C(=C/c2ccc(O)c(Cl)c2)NC1=S,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02865,CCOc1ccc(N2C(=O)CC(/C=C3/N(C)c4ccccc4C3(C)C)C2=O)cc1,1.0,0.72,0.4339622641509434,1.0,0.07483870967741935,1.0,Toxic Repellent
LIC_02864,Oc1c(Cl)cc(Cl)cc1/C=N/CC1CCCO1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02863,O=C(Nc1cccc(O)c1)c1ccc([N+](=O)[O-])cc1Cl,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02862,CCc1ccc(NC2CC(=O)N(c3ccc(OC)cc3)C2=O)cc1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02861,O=C1CC(Nc2ccc3c(c2)OCO3)C(=O)N1Cc1ccccc1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02860,Cc1ccc(N2C(=O)CC(I)C2=O)cc1,1.0,0.41304347826086957,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00031,CSc1nc2c(c(=O)n(C)c(=O)n2C)n1C,1.0,0.8,0.4339622641509434,1.0,0.15483870967741942,1.0,Toxic Repellent
LIC_00030,O=C(O)CCc1nc(-c2cccnc2)no1,1.0,0.3,0.4339622641509434,1.0,0.0,0.9451612903225806,Toxic Repellent
LIC_00029,O=C1CCC(=O)N1Cc1csc(Nc2ccccn2)n1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00028,Cn1c(=O)c2c(nc(N)n2C)n(C)c1=O,1.0,0.72,0.4339622641509434,1.0,0.07483870967741935,1.0,Toxic Repellent
LIC_00027,Cn1nc2c(c1CNC(=O)c1ccccc1C(F)(F)F)CCC2,1.0,0.5714285714285714,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00024,Cc1noc(-c2cncc(F)c2)n1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00022,CN1CCN(C(=O)c2cnccc2C(F)(F)F)CC1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00021,O=C(NC1CCCC1)c1cnccc1C(F)(F)F,1.0,0.4541617316236961,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00019,Cc1noc(-c2ccc(Cl)nc2)n1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00018,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1.0,0.72,0.4339622641509434,1.0,0.07483870967741935,1.0,Toxic Repellent
LIC_00017,Cc1csc(C(=O)N2CC(N3C(=O)CCC3=O)C2)c1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00049,CCOC(=O)c1ccc(C(=O)O)cc1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00048,COc1cccc(CC(=O)NCc2c3c(nn2C)CCC3)c1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00047,C=CCn1c(N(C)C)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00046,CCn1cnc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00045,OCCc1cn(-c2ccccc2Cl)nn1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00044,OCCc1cn(-c2cc(C(F)(F)F)ccc2Cl)nn1,1.0,0.8727272727272727,0.4339622641509434,1.0,0.22756598240469206,1.0,Toxic Repellent
LIC_00043,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00042,Cc1cc(C)cc(C(=O)NCc2c3c(nn2C)CCC3)c1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00041,O=C(CN1C(=O)CCC1=O)N1CCSC(c2ccccc2Cl)CC1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00040,Cc1cccnc1Nc1nc(CN2C(=O)CCC2=O)cs1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00039,Cn1c(=O)c2c(nc(N3CCNCC3)n2C)n(C)c1=O,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00037,OCCc1cn(-c2ccc(Br)cc2)nn1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00036,OCCc1cn(-c2cccc(Br)c2)nn1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00035,CN1CCN(c2nc3c(c(=O)n(C)c(=O)n3C)n2C)CC1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00033,CCn1c(CN2CCCCC2)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00065,O=C(c1ccc(F)cc1Cl)N1CC(N2C(=O)CCC2=O)C1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00064,C=CCn1c(N)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00063,Cn1nc2c(c1CNC(=O)c1ccccc1OC(F)(F)F)CCC2,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00061,O=C(c1ccccc1C(F)(F)F)N1CC(N2C(=O)CCC2=O)C1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00060,O=C(CN1C(=O)CCC1=O)N1CCC(Oc2ncccc2Cl)CC1,1.0,0.8,0.4339622641509434,1.0,0.15483870967741942,1.0,Toxic Repellent
LIC_00058,O=C(CN1C(=O)CCC1=O)NCc1nn(C2CCCC2)c2c1CCCC2,1.0,0.72,0.4339622641509434,1.0,0.07483870967741935,1.0,Toxic Repellent
LIC_00057,COC(CNC(=O)CN1C(=O)CCC1=O)c1ccc(C)s1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00056,C=CCn1c(NC)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00055,C/C=C/Cn1cnc2c1c(=O)n(C)c(=O)n2C,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00054,C=C(C)Cn1c(N)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00053,Cc1ccncc1Nc1nc(CN2C(=O)CCC2=O)cs1,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00050,O=C1CCC(=O)N1Cc1csc(Nc2cccnc2)n1,1.0,0.41304347826086957,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00081,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00080,Cn1c(=O)c2[nH]c(N3CCCCC3)nc2n(C)c1=O,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
